"TARGET_ID","TREE_LEVEL","TREE_PATH","SOURCE_PATH","NAME","CHANGED","STARTDATE_SOURCE_PATH","ENDDATE_SOURCE_PATH","VISUALATTRIBUTE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\-959752116\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\-959752116\","2013-02-03","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\-959752080\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\-959752080\","2013-02-18","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\-959573340\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\-959573340\","2013-08-12","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\-959543581\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\-959543581\","2013-09-01","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\-959603162\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\-959603162\","2013-07-02","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\-959543579\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHAUFNAHME_D\-959543579\","2013-09-03","0","","","LAE"
"1","2","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\","005 ITS-Aufnahme","0","","","FAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\171156038\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\171156038\","2013-02-11","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\171156073\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\171156073\","2013-02-25","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\171334786\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\171334786\","2013-08-13","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\171364545\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\171364545\","2013-09-02","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\171304967\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\171304967\","2013-07-06","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\171364547\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHME_D\171364547\","2013-09-04","0","","","LAE"
"1","2","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_SAPS\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_SAPS\","006 SAPS II-Score","0","","","FAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_SAPS\xml\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_SAPS\xml\","006 SAPS II-Score (Numerical Query)","0","","","LAE"
"1","2","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_SAPS_N\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_SAPS_N\","007 SAPS II-Score","0","","","FAE"
"1","2","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHMEART\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHMEART\","008 Art der ITS-Aufnahme","0","","","FAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHMEART\914825481\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHMEART\914825481\","Chirugisch geplant","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHMEART\914825482\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHMEART\914825482\","Chirurgisch ungeplant (Notfall)","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHMEART\914825483\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHMEART\914825483\","Trauma","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHMEART\914825484\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHMEART\914825484\","Medizinisch","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHMEART\914825485\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSAUFNAHMEART\914825485\","Andere","0","","","LAE"
"1","2","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASS_D\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASS_D\","009 Entlassung Krankenhaus","0","","","FAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASS_D\-1040477202\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASS_D\-1040477202\","2013-02-19","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASS_D\-1040268671\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASS_D\-1040268671\","2013-09-13","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASS_D\-1040268668\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASS_D\-1040268668\","2013-09-16","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASS_D\-1040328218\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASS_D\-1040328218\","2013-07-27","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASS_D\-1040268701\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASS_D\-1040268701\","2013-09-04","0","","","LAE"
"1","2","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASS_D\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASS_D\","010 Entlassung ITS","0","","","FAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASS_D\-1281090960\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASS_D\-1281090960\","2013-02-18","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASS_D\-1280912159\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASS_D\-1280912159\","2013-08-31","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASS_D\-1280882426\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASS_D\-1280882426\","2013-09-15","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASS_D\-1280942037\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASS_D\-1280942037\","2013-07-07","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASS_D\-1280882457\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASS_D\-1280882457\","2013-09-05","0","","","LAE"
"1","2","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASSSTATUS\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASSSTATUS\","011 Status bei ITS-Entlassung","0","","","FAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASSSTATUS\xml\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_ITSENTLASSSTATUS\xml\","011 Status bei ITS-Entlassung (Numerical Query)","0","","","LAE"
"1","2","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASSSTATUS\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASSSTATUS\","012 Status bei KH-Entlassung","0","","","FAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASSSTATUS\-64794794\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASSSTATUS\-64794794\","Überlebt","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASSSTATUS\-64794793\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_KHENTLASSSTATUS\-64794793\","Verstorben","0","","","LAE"
"1","2","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_SEPSISPATIENT\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_SEPSISPATIENT\","013 Patient mit schwerer Sepsis / septischem Schock?  - Falls ""Nein"", ist die Erhebung hier beendet. Falls ""Ja"", bitte die anderen CRFs ausfüllen.","0","","","FAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_SEPSISPATIENT\-1657415481\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_SEPSISPATIENT\-1657415481\","Ja","0","","","LAE"
"1","3","\i2b2\IG_IN_BA_UNGROUPED\I_IN_BA_IN_SEPSISPATIENT\-1657415482\","\i2b2\PD\S_INSEP\v1.0.0\SE_TAG1\F_IN_BASISDATE_V01\IG_IN_BA_UNGROUPED\I_IN_BA_IN_SEPSISPATIENT\-1657415482\","Nein","0","","","LAE"
